,"T=7,Z_cluster_num=3","T=7,Z_cluster_num=5","T=7,Z_cluster_num=9","T=14,Z_cluster_num=3","T=14,Z_cluster_num=5","T=14,Z_cluster_num=9","T=21,Z_cluster_num=3","T=21,Z_cluster_num=5","T=21,Z_cluster_num=9"
Sj1_VFA,586992.0,586306.0,586306.0,1149062.5,1149044.0,1149044.0,1681365.5,1682535.0,1682535.0
Sj1_RA,429615.0,429615.0,429615.0,815328.0,815328.0,815328.0,1164126.0,1164126.0,1164126.0
Sj1_RDA,518684.0,518684.0,518684.0,1035271.0,1035271.0,1035271.0,1513754.0,1513754.0,1513754.0
Sj1_MA,586306.0,586306.0,586306.0,1149044.0,1149044.0,1149044.0,1682535.0,1682535.0,1682535.0
Sj2_VFA,586211.2,585058.0,585058.0,1150269.4,1149726.0,1149726.0,1683718.8,1682391.0,1682391.0
Sj2_RA,416561.0,416561.0,416561.0,802761.0,802761.0,802761.0,1182407.0,1182407.0,1182407.0
Sj2_RDA,520780.0,520780.0,520780.0,1038785.0,1038785.0,1038785.0,1516313.0,1516313.0,1516313.0
Sj2_MA,585058.0,585058.0,585058.0,1149726.0,1149726.0,1149726.0,1682391.0,1682391.0,1682391.0
Sj3_VFA,584257.0,581706.0,581706.0,1147684.5,1145812.0,1145812.0,1680546.5,1678382.0,1678382.0
Sj3_RA,420871.0,420871.0,420871.0,806026.0,806026.0,806026.0,1164224.0,1164224.0,1164224.0
Sj3_RDA,533317.0,533317.0,533317.0,1043364.0,1043364.0,1043364.0,1525613.0,1525613.0,1525613.0
Sj3_MA,581706.0,581706.0,581706.0,1145812.0,1145812.0,1145812.0,1678382.0,1678382.0,1678382.0
Sj4_VFA,587513.3333333334,588701.0,588701.0,1150715.3333333333,1152970.0,1152970.0,1683374.3333333333,1686806.0,1686806.0
Sj4_RA,424483.0,424483.0,424483.0,837914.0,837914.0,837914.0,1169809.0,1169809.0,1169809.0
Sj4_RDA,531388.0,531388.0,531388.0,1041379.0,1041379.0,1041379.0,1518337.0,1518337.0,1518337.0
Sj4_MA,588701.0,588701.0,588701.0,1152970.0,1152970.0,1152970.0,1686806.0,1686806.0,1686806.0
Sj5_VFA,586678.0,586409.0,586409.0,1151416.5,1150071.0,1150071.0,1684987.5,1683390.0,1683390.0
Sj5_RA,424628.0,424628.0,424628.0,813285.0,813285.0,813285.0,1137885.0,1137885.0,1137885.0
Sj5_RDA,530875.0,530875.0,530875.0,1058484.0,1058484.0,1058484.0,1530315.0,1530315.0,1530315.0
Sj5_MA,586409.0,586409.0,586409.0,1150071.0,1150071.0,1150071.0,1683390.0,1683390.0,1683390.0
