,"T=3,Z=3","T=3,Z=5","T=3,Z=9","T=14,Z=3","T=14,Z=5","T=14,Z=9","T=21,Z=3","T=21,Z=5","T=21,Z=9"
Sj1_VFA,180254.0,180254.0,180254.0,453128.0,453128.0,453128.0,246692.0,246692.0,246692.0
Sj1_RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj1_RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj1_MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj2_VFA,195890.0,195890.0,195890.0,483803.0,483803.0,483803.0,278693.0,278693.0,278693.0
Sj2_RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj2_RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj2_MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj3_VFA,183350.0,183350.0,183350.0,441612.0,441612.0,441612.0,235168.0,235168.0,235168.0
Sj3_RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj3_RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj3_MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj4_VFA,193973.0,193973.0,193973.0,475925.0,475925.0,475925.0,287541.0,287541.0,287541.0
Sj4_RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj4_RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj4_MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj5_VFA,202592.0,202592.0,202592.0,439208.0,439208.0,439208.0,211198.0,211198.0,211198.0
Sj5_RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj5_RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj5_MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
